date,mxn_close,score,wsum,band,s_vix,s_mxn,s_spx,s_carry,s_mxnvol,s_move,s_btc,s_curve,s_gold,r_vix,r_mxn,r_spx,r_carry,r_mxnvol,r_move,r_btc,r_curve,r_gold
2005-01-03,11.215,100,7,RISK-ON,,,,,,,,100.000,,14.08000,,,,,83.90000,,1.13000,
2005-01-04,11.3191,100,7,RISK-ON,,,,,,,,100.000,,13.98000,0.92822,-1.16714,,,83.30000,,1.09000,-0.04666
2005-01-05,11.334,100,7,RISK-ON,,,,,,,,100.000,,14.09000,0.13164,-0.36278,,,93.20000,,1.07000,-0.44341
2005-01-06,11.411,100,7,RISK-ON,,,,,,,,100.000,,13.58000,0.67937,0.35059,,,92.40000,,1.11000,-1.31271
2005-01-07,11.36,100,7,RISK-ON,,,,,,,,100.000,,13.49000,-0.44694,-0.14312,,,92.38000,,1.09000,-0.49881
2005-01-10,11.255,100,7,RISK-ON,,,,,,,,100.000,,13.23000,-0.92430,0.34228,,,79.01000,,1.06000,0.04775
2005-01-11,11.217,100,7,RISK-ON,,,,,,,,100.000,,13.19000,-0.33763,-0.60996,,,77.85000,,1.02000,0.66810
2005-01-12,11.1715,100,7,RISK-ON,,,,,,,,100.000,,12.56000,-0.40563,0.39814,,,76.95000,,1.03000,0.99550
2005-01-13,11.198,99,7,RISK-ON,,,,,,,,99.333,,12.84000,0.23721,-0.86301,,,75.77000,,0.99000,-0.37550
2005-01-14,11.2375,99,7,RISK-ON,,,,,,,,99.333,,12.43000,0.35274,0.60046,,,76.61000,,0.99000,-0.42403
2005-01-18,11.2485,97,7,RISK-ON,,,,,,,,96.667,,12.47000,0.09789,0.96748,,8.93870,76.53000,,0.95000,0.11829
2005-01-19,11.2335,96,7,RISK-ON,,,,,,,,96.000,,13.18000,-0.13335,-0.94901,,8.51652,75.96000,,0.94000,-0.04726
2005-01-20,11.2501,97,7,RISK-ON,,,,,,,,97.333,,13.83000,0.14777,-0.77830,,8.14250,74.46000,,0.96000,-0.14185
2005-01-21,11.2445,100,7,RISK-ON,,,,,,,,100.000,,14.36000,-0.04978,-0.64148,,7.80322,76.30000,,1.00000,1.01800
2005-01-24,11.2375,96,7,RISK-ON,,,,,,,,96.000,,14.65000,-0.06225,-0.35278,,7.50548,76.95000,,0.94000,0.04687
2005-01-25,11.297,98,7,RISK-ON,,,,,,,,98.000,,14.06000,0.52948,0.40043,,7.53320,77.32000,,0.97000,-1.14781
2005-01-26,11.2625,96,7,RISK-ON,,,,,,,,96.000,,13.44000,-0.30539,0.48441,,7.41289,78.19000,,0.94000,1.16114
2005-01-27,11.301,96,7,RISK-ON,,,,,,,,96.000,,13.24000,0.34184,0.04089,,7.27886,80.21000,,0.94000,-0.14055
2005-01-28,11.255,94,7,RISK-ON,,,,,,,,94.000,,13.24000,-0.40704,-0.27160,,7.26208,78.62000,,0.91000,-0.11729
2005-01-31,11.2065,90,7,RISK-ON,,,,,,,,90.000,,12.82000,-0.43092,0.84603,,7.24665,79.29000,,0.85000,-0.93941
2005-02-01,11.165,91,7,RISK-ON,,,,,,,,90.667,,12.03000,-0.37032,0.68909,,7.17287,75.96000,,0.86000,-0.23708
2005-02-02,11.1695,89,7,RISK-ON,,,,,,,,88.667,,11.66000,0.04030,0.31780,,6.99451,83.90000,,0.83000,0.07130
2005-02-03,11.166,89,7,RISK-ON,,,,,,,,89.333,,11.79000,-0.03134,-0.27656,,6.08944,83.78000,,0.84000,-1.06863
2005-02-04,11.1345,87,7,RISK-ON,,,,,,,,86.667,,11.21000,-0.28211,1.10430,,6.09052,75.51000,,0.80000,-0.62410
2005-02-07,11.182,84,7,RISK-ON,,,,,,,,84.000,,11.73000,0.42660,-0.10890,,5.74454,72.24000,,0.76000,-0.09662
2005-02-08,11.206,81,7,RISK-ON,,,,,,,,81.333,,11.60000,0.21463,0.04827,,5.69200,72.84000,,0.72000,-0.24178
2005-02-09,11.19,84,7,RISK-ON,,,,,,,,84.000,,12.00000,-0.14278,-0.85753,,4.77413,77.10000,,0.76000,0.07271
2005-02-10,11.154,85,7,RISK-ON,,,,,,,,85.333,,11.51000,-0.32172,0.42115,,4.76140,80.40000,,0.78000,1.04142
2005-02-11,11.16,84,7,RISK-ON,,,,,,,,84.000,,11.43000,0.05379,0.69256,,4.56213,81.95000,,0.76000,0.79098
2005-02-14,11.1535,77,35,RISK-ON,81.683,,,,,64.626,,80.000,,11.52000,-0.05824,0.06969,,4.47893,84.66000,,0.70000,1.26040
2005-02-15,11.1495,67,73,CONSTRUCTIVE,82.599,52.455,64.278,,,65.110,,82.000,48.671,11.27000,-0.03586,0.32998,,4.27045,84.12000,,0.73000,0.02349
2005-02-16,11.152,64,73,CONSTRUCTIVE,83.202,48.457,50.841,,,65.127,,83.333,56.155,11.10000,0.02242,0.01818,,4.24834,84.10000,,0.75000,-0.09392
