date,score,band,vix,mxn,spx,carry,mxnvol,move,btc,curve,gold,stretch,dScore5,carry,curve,fwd1,fwd5,fwd10
2021-12-01,45.8,DEFENSIVE,3.2,93.3,11.5,70.3,24.9,66.1,52.7,91.3,34.3,3.63,,4.92,0.87,0.279,-1.792,-0.901
2021-12-02,49.8,CONSTRUCTIVE,6.8,35.6,92.0,70.3,25.8,66.5,41.1,87.3,85.3,4.24,,4.92,0.81,-0.759,-2.542,-2.042
2021-12-03,42.1,DEFENSIVE,3.6,83.4,20.5,70.3,27.5,69.4,20.0,83.3,15.2,2.61,,4.92,0.75,-0.411,-1.679,-2.296
2021-12-06,52.1,CONSTRUCTIVE,8.2,70.2,86.8,70.3,27.2,61.7,17.5,85.3,58.6,1.81,,4.92,0.78,0.013,-1.624,-1.846
2021-12-07,55.1,CONSTRUCTIVE,25.0,49.4,96.5,70.3,32.0,61.4,51.6,85.3,40.2,1.59,,4.92,0.78,-0.921,-1.084,-2.206
2021-12-08,59.4,CONSTRUCTIVE,35.4,87.2,61.6,70.3,28.9,68.4,47.3,89.3,48.4,-0.03,13.6,4.92,0.84,-0.487,0.907,-0.978
2021-12-09,48.2,DEFENSIVE,26.5,73.0,24.0,70.3,30.4,69.1,17.5,86.0,66.9,-0.96,-1.5,4.92,0.79,0.119,0.513,-1.029
2021-12-10,55.7,CONSTRUCTIVE,42.6,44.3,82.3,70.3,30.7,73.2,43.8,87.3,33.9,-0.94,13.5,4.92,0.81,-0.355,-0.627,-1.640
2021-12-13,48.5,DEFENSIVE,33.1,67.1,19.9,70.3,30.2,71.6,42.6,84.0,42.9,-1.60,-3.6,4.92,0.76,0.562,-0.225,-0.923
2021-12-14,42.7,DEFENSIVE,25.0,26.1,24.3,70.3,34.6,69.5,48.1,84.7,79.2,-0.91,-12.5,4.92,0.77,1.073,-1.135,-1.579
2021-12-15,54.9,CONSTRUCTIVE,39.0,12.6,92.3,70.3,31.8,73.5,80.1,85.3,66.0,0.55,-4.5,4.92,0.78,-0.875,-1.868,-3.115
2021-12-16,49.3,CONSTRUCTIVE,31.7,82.0,22.3,70.3,30.2,77.1,32.8,86.7,4.9,-1.08,1.0,4.92,0.80,-1.016,-1.535,-2.729
2021-12-17,49.4,CONSTRUCTIVE,26.6,84.5,18.8,77.4,27.2,74.7,28.8,83.3,35.6,-2.77,-6.3,5.42,0.75,0.048,-1.019,-1.623
2021-12-20,45.3,DEFENSIVE,20.7,48.1,16.3,77.4,28.6,71.2,60.6,85.3,70.3,-2.78,-3.2,5.42,0.78,-0.355,-0.699,-1.648
2021-12-21,62.0,CONSTRUCTIVE,29.4,64.1,92.1,77.4,29.0,69.1,78.9,85.3,61.7,-3.76,19.3,5.42,0.78,0.323,-0.449,-1.125
2021-12-22,54.0,CONSTRUCTIVE,43.0,37.1,80.0,77.4,29.5,71.3,45.4,85.3,24.3,-3.06,-0.8,5.42,0.78,-0.538,-1.270,-1.243
2021-12-23,62.2,CONSTRUCTIVE,47.1,70.7,70.4,77.4,29.4,70.9,78.5,86.0,31.6,-3.95,12.9,5.42,0.79,-0.498,-1.213,-1.049
